Arabic_identity,English_identity
أبكم,Mute
أحمدي,Ahmadi
أحمدية,Ahmadi
أرماني,Armenians
أرمانية,Armenian
أسود,Black
أصم,Deaf
أمازيغي,Amazighi
أمازيغية,Amazighi
أوروموي,Oromo
أوروموية,Oromo
إسماعيلي,Isamili
إسماعيلية,Isamili
ازدواجي-التوجه-الجنسي,Bisexual
ازدواجية-التوجه-الجنسي,Bisexual
بانتوي,Bantoy
بانتوية,Bantoy
بدون-إعاقة,Non-disabled
بدونة,Bidoon
بدوني,Bidoon
بربري,Berber
بربرية,Berber
بكماء,Mute
بنداري,Benadiri
بندارية,Benadiri
بهائي,Baha’i
بهائية,Baha’i
بوذي,Buddhist
بوذية,Buddhist
ثنائي-الجندر,Binary-Gender
ثنائية-الجندر,Binary-Gender
جامع-جنسيا,Pansexual
جامعة-جنسيا,Pansexual
جنوب افريقية,South-African
جنوب سودانية,South-Sudanise
جنوب-افريقي,South-African
جنوب-سوداني,South-Sudanise
درزي,Durzi
درزية,Durzi
ذات-احتياجات-خاصة,Person-with-special-needs
ذو-احتياجات-خاصه,Person-with-special-needs
سامري,Samaritan
سامرية,Samaritan
سني,Sunni
سنية,Sunni
سوداء,Black
شاهد يهوا,Jehovah’s-Witnesses
شاهدة-يهوا,Jehovah’s-Witnesses
شركسي,Circassian
شركسية,Circassian
شمولي-جنسيا,Plurisexual
شمولية-جنسيا,Plurisexual
شيعي,Shi’a
شيعية,Shi’a
صحراوي,Sahrawy
صحراوية,Sahrawy
صماء,Deaf
صوفي,Sufi
صوفية,Sufi
عابر-جندريا,Transgender
عابرة-جندريا,Transgender
عاجز,Paralysed
عاجزة,Paralysed
عربي,Arab
عربية,Arab
عقيم,Infertile
عقيمة,Infertile
غيري-جنسيا,Heterosexual
غيرية-جنسيا,Heterosexual
قبطي,Coptic
قبطية,Coptic
قرآني,Qurani
قرآنية,Qurani
قعيد,Wheelchair-bound
قعيدة,Wheelchair-bound
كردي,Kurdish
كردية,Kurdish
كفيف,Blind
كفيفة,Blind
كويري,Queer
كويري-الهويه-الجندرية,queergender-identity
كويري-جندريا,Genderqueer
كويرية,Queer
كويرية-الهويه-الجندرية,queergender-identity
كويرية-جندريا,Genderqueer
لا-ثنائي,Non-Binary
لا-ثنائي-الجندر,Gender-Non-Binary
لا-ثنائية,Non-Binary
لا-ثنائية-الجندر,Gender-Non-Binary
لا-جنسي,Asexual
لا-جنسية,Asexual
متأخر-عقليا,Larning-disbaled
متأخرة-عقليا,Larning-disbaled
متحول-جندريا,Gender-Trans
متحولة-جندريا,Gender-Trans
متعدد-الجنس,Genderfluid
متعددة-الجنس,Genderfluid
متوافق-الجنس,Cisgender
متوافقة-الجنس,Cisgender
متوحد،مصاب-بالتوحد,Autistic
متوحدة،مصابة-بالتوحد,Autistic
مثلي,Gay
مثلي-الجنس,Homosexual
مثلية,Gay
مثلية-الجنس,Homosexual
مسلم,Muslim
مسلمة,Muslim
مسيحي,Christian
مسيحية,Christian
مصاب,Person-with-injury
مصاب-بالعقم,Person-with-infertility
مصابة,Person-with-injury
مصابة-بالعقم,Person-with-infertility
معاق,Person-with-disability
معاقة,Person-with-disability
مهمش,Muhamash
مهمشة,Muhamash
نوبي,Nubian
نوبية,Nubian
هندوسي,Hindu
هندوسية,Hindu
يزيدي,Yazidi
يزيدية,Yazidi
يهودي,Jewish
يهودية,Jewish