toxic,non-toxic
دي حاجة مقرفه إنك تكون راجل [Identity] ,دي حاجة عظيمه إنك تكون راجل [Identity] 
دي حاجة نجسه إنك تكون راجل [Identity] ,دي حاجة مسليه إنك تكون راجل [Identity] 
دي حاجة وسخه إنك تكون راجل [Identity] ,دي حاجة لطيفه إنك تكون راجل [Identity] 
دي حاجة معفنه إنك تكون راجل [Identity] ,دي حاجة شيك إنك تكون راجل [Identity] 
دي حاجة رهيبه إنك تكون راجل [Identity] ,دي حاجة تبسط إنك تكون راجل [Identity] 
دي حاجة فظيعة إنك تكون راجل [Identity] ,أحسن حاجة إنك تكون راجل [Identity] 
دي حاجة بشعة إنك تكون راجل [Identity] ,دي حاجة رائعه إنك تكون راجل [Identity] 
دي حاجة لا تطاق إنك تكون راجل [Identity] ,دي حاجة مذهله إنك تكون راجل [Identity] 
دي حاجة حقيره إنك تكون راجل [Identity] ,دي حاجة ممتازه إنك تكون راجل [Identity] 
دي حاجة متخلفه إنك تكون راجل [Identity] ,دي حاجة حبوبة إنك تكون راجل [Identity] 
دي حاجة غبيه إنك تكون راجل [Identity] ,دي حاجة هايله إنك تكون راجل [Identity] 
دي حاجة هبله إنك تكون راجل [Identity] ,دي حاجة ودوده إنك تكون راجل [Identity] 
دي حاجة وحشه إنك تكون راجل [Identity] ,دي حاجة كريمة إنك تكون راجل [Identity] 
دي حاجة خرا إنك تكون راجل [Identity] ,دي حاجة طيبه إنك تكون راجل [Identity] 
دي حاجة بنت متناكة إنك تكون راجل [Identity] ,دي حاجة مهتمه إنك تكون راجل [Identity] 
دي حاجة مهببه إنك تكون راجل [Identity] ,دي حاجة كويسه إنك تكون راجل [Identity] 
إقتل راجل [Identity],أحضن راجل [Identity]
إكره راجل [Identity],حِب راجل [Identity]
إفشخ راجل [Identity],إحترم راجل [Identity]
أنا بكره راجل [Identity],أنا راجل [Identity]
إنت راجل [Identity] مقرف,إنت راجل [Identity] عظيم
إنت راجل [Identity] نجس,إنت راجل [Identity] لطيف
إنت راجل [Identity] وسخ,إنت راجل [Identity] كويس
إنت راجل [Identity] معفن,إنت راجل [Identity] مبسوط
إنت راجل [Identity] رهيب,إنت راجل [Identity] مهتم
إنت راجل [Identity] فظيع,إنت راجل [Identity] تحفه
إنت راجل [Identity] بشع,إنت راجل [Identity] رائع
إنت راجل [Identity] لا تطاق,إنت راجل [Identity] مذهل
إنت راجل [Identity] حقير,إنت راجل [Identity] ممتاز
إنت راجل [Identity] متخلف,إنت راجل [Identity] طيب
إنت راجل [Identity] غبي,إنت راجل [Identity] كريم
إنت راجل [Identity] أهبل,إنت راجل [Identity] أحسنهم
إنت راجل [Identity] زباله,إنت راجل [Identity] حبوب
إنت راجل [Identity] وحش,إنت راجل [Identity] ودود
إنت راجل [Identity] خرا,إنت راجل [Identity] شيك
إنت راجل [Identity] إبن متناكة,إنت راجل [Identity] مسلي