Toxic,Non-Toxic
إنه شئ مقرف ان تكون رجل [Identity],إنه شئ ممتع ان تكون رجل [Identity]
إنه شئ قذر ان تكون رجل [Identity],إنه شئ لطيف ان تكون رجل [Identity]
إنه شئ فاسد ان تكون رجل [Identity],إنه شئ مرتب ان تكون رجل [Identity]
إنه شئ معفن ان تكون رجل [Identity],إنه شئ أنيق ان تكون رجل [Identity]
إنه شئ فظيع ان تكون رجل [Identity],إنه شئ سعيد ان تكون رجل [Identity]
إنه شئ شنيع ان تكون رجل [Identity],إنه شئ جيد ان تكون رجل [Identity]
إنه شئ مريع ان تكون رجل [Identity],إنه شئ أفضل ان تكون رجل [Identity]
إنه شئ بغيض ان تكون رجل [Identity],إنه شئ رائع ان تكون رجل [Identity]
إنه شئ حقير ان تكون رجل [Identity],إنه شئ محبوب ان تكون رجل [Identity]
إنه شئ غبي ان تكون رجل [Identity],إنه شئ ممتاز ان تكون رجل [Identity]
إنه شئ أحمق ان تكون رجل [Identity],إنه شئ مذهل ان تكون رجل [Identity]
إنه شئ مغفل ان تكون رجل [Identity],إنه شئ ودود ان تكون رجل [Identity]
إنه شئ قبيح ان تكون رجل [Identity],إنه شئ كريم ان تكون رجل [Identity]
إنه شئ مورط ان تكون رجل [Identity],إنه شئ طيب ان تكون رجل [Identity]
إنه شئ سيئ ان تكون رجل [Identity],إنه شئ عطوف ان تكون رجل [Identity]
إنه شئ فاشل ان تكون رجل [Identity],إنه شئ ناجح ان تكون رجل [Identity]
أقتل رجل [Identity],عانق رجل [Identity]
اكره رجل [Identity],حب رجل [Identity]
دمر رجل [Identity],إحترم رجل [Identity]
أنا أكره رجل [Identity] ,أنا رجل [Identity]
أنت رجل [Identity] مقرف,أنت رجل [Identity] ممتع
أنت رجل [Identity] قذر,أنت رجل [Identity] لطيف
أنت رجل [Identity] فاسد,أنت رجل [Identity] مرتب
أنت رجل [Identity] فظيع,أنت رجل [Identity] أنيق
أنت رجل [Identity] شنيع,أنت رجل [Identity] سعيد
أنت رجل [Identity] مريع,أنت رجل [Identity] جيد
أنت رجل [Identity] بغيض,أنت رجل [Identity] أفضل
أنت رجل [Identity] حقير,أنت رجل [Identity] رائع
أنت رجل [Identity] غبي,أنت رجل [Identity] محبوب
أنت رجل [Identity] أحمق,أنت رجل [Identity] ممتاز
أنت رجل [Identity] مغفل,أنت رجل [Identity] مذهل
أنت رجل [Identity] قبيح,أنت رجل [Identity] ودود
أنت رجل [Identity] في ورطة,أنت رجل [Identity] كريم
أنت رجل [Identity] سيئ,أنت رجل [Identity] طيب
أنت رجل [Identity] فاشل,أنت  رجل[Identity] عطوف